table_name,attribute_name,attribute_desc,isPK,isFK,comment
party,party_id,参与者唯一标识,YES,NO,主键，UUID
party,party_type,参与者类型，如个人、公司,NO,NO,"枚举：Individual, Organization"
party,legal_name,法定名称,NO,NO,个人为全名，企业为公司注册名称
party,birth_date,出生日期（针对个人）,NO,NO,个人客户有效，企业留空
party,registration_date,注册日期,NO,NO,个人或企业首次注册时间
party,gender,性别,NO,NO,"'M','F','Other'，针对个人"
party,national_id_type,国民身份证类型,NO,NO,如身份证、护照、驾照等
party,national_id_number,国民身份证号码,NO,NO,唯一识别个人身份
party,tax_id,税务识别号,NO,NO,个人或企业税号
party,country_of_residence,居住国家,NO,NO,ISO国家代码
party,nationality,国籍,NO,NO,ISO国家代码
party,marital_status,婚姻状态,NO,NO,"如Single, Married, Divorced"
party,employment_status,就业状态,NO,NO,"如Employed, Unemployed, Retired"
party,profession,职业,NO,NO,工作行业或职位名称
party,preferred_language,首选语言,NO,NO,ISO语言代码
party,email,电子邮件,NO,NO,主邮箱地址
party,phone_number,电话号码,NO,NO,主联系电话
party,secondary_phone,备用电话,NO,NO,备用联系电话
party,created_by,创建人,NO,NO,系统操作员ID
party,created_date,创建时间,NO,NO,记录创建时间
party,last_updated_by,最后修改人,NO,NO,系统操作员ID
party,last_updated_date,最后修改时间,NO,NO,记录更新时间
party,status,状态,NO,NO,"Active, Inactive, Suspended"
party,preferred_contact_method,首选联系方式,NO,NO,"Email, Phone, Mail等"
party,language_preference,语言偏好,NO,NO,ISO语言代码
party,risk_rating,风险等级,NO,NO,低、中、高
party,source_of_funds,资金来源,NO,NO,用于合规审查
party,notes,备注,NO,NO,备注说明
party,external_reference,外部系统引用ID,NO,NO,用于系统间数据同步
party_role,party_role_id,参与者角色唯一标识,YES,NO,主键，UUID
party_role,party_id,参与者ID,NO,YES,外键，关联party.party_id
party_role,role_type,角色类型,NO,NO,"如Borrower, Guarantor, AccountHolder"
party_role,valid_from,角色有效起始日期,NO,NO,
party_role,valid_to,角色有效截止日期,NO,NO,
party_role,status,角色状态,NO,NO,"Active, Inactive"
party_role,created_by,创建人,NO,NO,
party_role,created_date,创建时间,NO,NO,
party_role,last_updated_by,最后修改人,NO,NO,
party_role,last_updated_date,最后修改时间,NO,NO,
party_role,notes,备注,NO,NO,
party_role,authorization_level,授权级别,NO,NO,"如Primary, Secondary"
party_role,role_description,角色描述,NO,NO,
party_role,organization_name,组织名称（针对企业角色）,NO,NO,
